Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	AMS	Name	Tone Mode	CTCSS	DCS	RX DGID	TX DGID	User CTCSS	Tx Power	Skip	Step	Clock Shift	Memory Group	Comment
301	146.96000	146.36000	600 kHz	Minus	FM	Off	WW7PSR (RR#1)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Capitol Hill, Seattle, WA (Puget Sound Repeater Group)
302	443.97500	448.97500	5.00 MHz	Plus	FM	Off	W7PFR (RR#4)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Eatonville (Gobblers Knob Repeater Group)
303	444.42500	449.42500	5.00 MHz	Plus	FM	Off	WW7SEA (RR#5)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Seattle (Barry K7PAL's repeater system)
304	444.70000	449.70000	5.00 MHz	Plus	FM	Off	WW7SEA (RR#6)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Seattle (Barry K7PAL's repeater system)
305	147.00000	146.40000	600 kHz	Minus	FM	Off	W7DX (RR#7)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Redmond (Western Washington DX Club)
306	145.15000	144.55000	600 kHz	Minus	FM	Off	W7JCR (RR#8)	Tone	114.8 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Port Townsend (Jefferson County Amateur Radio Club)
307	440.72500	445.72500	5.00 MHz	Plus	FM	Off	AA7MI (RR#9)	Tone	114.8 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Marrowstone Isl. (Marrowstone Island Amateur Radio Club)
308	146.77500	146.17500	600 kHz	Minus	FM Narrow	Off	WA7DEM (RR#10)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Lynnwood, WA (Snohomish County Auxiliary Communications Service)
309	146.92500	146.32500	600 kHz	Minus	FM Narrow	Off	WA7DEM (RR#11)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Granite Falls, WA (Snohomish County Auxiliary Communications Service)
310	224.38000	222.78000	1.60 MHz	Minus	FM	Off	WA7DEM (RR#12)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Marysville, WA (Snohomish County Auxiliary Communications Service)
311	442.97500	447.97500	5.00 MHz	Plus	FM Narrow	Off	WA7DEM (RR#13)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Clearview, WA (Snohomish County Auxiliary Communications Service)
312	443.72500	448.72500	5.00 MHz	Plus	FM Narrow	Off	WA7DEM (RR#14)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Mountlake Terrace, WA (Snohomish County Auxiliary Communications Service)
313	444.02500	449.02500	5.00 MHz	Plus	FM Narrow	Off	WA7DEM (RR#15)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Edmonds, WA (Snohomish County Auxiliary Communications Service)
314	444.20000	449.20000	5.00 MHz	Plus	FM Narrow	Off	WA7DEM (RR#16)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Marysville, WA (Snohomish County Auxiliary Communications Service)
315	444.30000	449.30000	5.00 MHz	Plus	FM Narrow	Off	WA7DEM (RR#17)	Tone	156.7 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Darrington, WA (Snohomish County Auxiliary Communications Service)
