CH No,Name,Mode,Frequency,Dup,Offset,RPT1 Call Sign,RPT2 Call Sign,Filter,TONE,Repeater Tone,DTCS Code
1,WW7PSR,FM,146.96,DUP-,0.6,,,1,TONE,103.5Hz,
2,WW7PSR,FM,52.87,DUP-,1.7,,,1,TONE,103.5Hz,
4,NC7G,FM,146.66,DUP-,0.6,,,1,TONE,103.5Hz,
5,WA7ST,FM,443.1,DUP+,5.0,,,1,TONE,103.5Hz,
6,N7GDE,FM,145.19,DUP-,0.6,,,1,TONE,127.3Hz,
7,W7ACS,FM,442.3,DUP+,5.0,,,1,TONE,141.3Hz,
8,W7ACS,FM,444.55,DUP+,5.0,,,1,TONE,141.3Hz,
9,W7ACS,FM,442.875,DUP+,5.0,,,1,TONE,141.3Hz,
10,W7ACS,FM,443.475,DUP+,5.0,,,1,TONE,141.3Hz,
11,W7ACS,FM,443.65,DUP+,5.0,,,1,TONE,141.3Hz,
12,W7ACS,FM,440.6,DUP+,5.0,,,1,TONE,141.3Hz,
13,W7ACS,FM,443.2,DUP+,5.0,,,1,TONE,141.3Hz,
15,W7JCR,FM,145.15,DUP-,0.6,,,1,TONE,114.8Hz,
16,AA7MI,FM,440.725,DUP+,5.0,,,1,TONE,114.8Hz,
17,NT7H,FM,147.36,DUP+,0.6,,,1,TONE,103.5Hz,
19,NT7H,FM,441.4,DUP+,5.0,,,1,TONE,103.5Hz,
20,W7MIR,FM,147.16,DUP+,0.6,,,1,TONE,146.2Hz,
21,W7MIR,FM,440.15,DUP+,5.0,,,1,TONE,103.5Hz,
22,KC7Z,FM,444.075,DUP+,5.0,,,1,TONE,103.5Hz,
23,W7AVM,FM,146.86,DUP-,0.6,,,1,TONE,127.3Hz,
24,N7KN,FM,441.425,DUP+,5.0,,,1,TONE,110.9Hz,
25,K7DK,FM,440.95,DUP+,5.0,,,1,TONE,110.9Hz,
26,WW7SEA,FM,444.7,DUP+,5.0,,,1,TONE,103.5Hz,
29,W7AUX,FM,442.825,DUP+,5.0,,,1,TONE,103.5Hz,
30,W7AUX,FM,440.3,DUP+,5.0,,,1,TONE,103.5Hz,
32,K7NWS,FM,145.33,DUP-,0.6,,,1,TONE,179.9Hz,
35,K7LWH,FM,53.17,DUP-,1.7,,,1,TONE,100.0Hz,
36,K7LWH,FM,145.49,DUP-,0.6,,,1,TONE,103.5Hz,
38,K7LWH,FM,441.075,DUP+,5.0,,,1,TONE,103.5Hz,
39,W7FLY,FM,443.925,DUP+,5.0,,,1,TONE,100.0Hz,
40,NE7MC,FM,442.0,DUP+,5.0,,,1,TONE,141.3Hz,
43,WW7STR,FM,441.55,DUP+,5.0,,,1,TONE,103.5Hz,
44,WW7STR,FM,443.05,DUP+,5.0,,,1,TONE,103.5Hz,
46,N3KPU,FM,145.23,DUP-,0.6,,,1,TONE,146.2Hz,
47,KE7YYD,FM,442.75,DUP+,5.0,,,1,TONE,146.2Hz,
