Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,WW7PSR,146.960,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,WW7PSR - 146.960,,,,
2,WW7PSR,52.870,-,1.700000,Tone,103.5,88.5,023,NN,FM,5.00,,WW7PSR - 52.870,,,,
3,W7PFR,53.410,-,1.700000,Tone,100,88.5,023,NN,FM,5.00,,W7PFR - 53.410,,,,
4,W7PFR,443.975,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7PFR - 443.975,,,,
5,WW7SEA,444.425,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,WW7SEA - 444.425,,,,
6,WW7SEA,444.700,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,WW7SEA - 444.700,,,,
7,W7DX,147.000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7DX - 147.000,,,,
8,W7JCR,145.150,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,W7JCR - 145.150,,,,
9,AA7MI,440.725,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,AA7MI - 440.725,,,,
10,WA7DEM,146.775,-,0.600000,Tone,156.7,88.5,023,NN,NFM,5.00,,WA7DEM - 146.775,,,,
11,WA7DEM,146.925,-,0.600000,Tone,156.7,88.5,023,NN,NFM,5.00,,WA7DEM - 146.925,,,,
12,WA7DEM,224.380,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,WA7DEM - 224.380,,,,
13,WA7DEM,442.975,+,5.000000,Tone,156.7,88.5,023,NN,NFM,5.00,,WA7DEM - 442.975,,,,
14,WA7DEM,443.725,+,5.000000,Tone,156.7,88.5,023,NN,NFM,5.00,,WA7DEM - 443.725,,,,
15,WA7DEM,444.025,+,5.000000,Tone,156.7,88.5,023,NN,NFM,5.00,,WA7DEM - 444.025,,,,
16,WA7DEM,444.200,+,5.000000,Tone,156.7,88.5,023,NN,NFM,5.00,,WA7DEM - 444.200,,,,
17,WA7DEM,444.300,+,5.000000,Tone,156.7,88.5,023,NN,NFM,5.00,,WA7DEM - 444.300,,,,
18,W7MIR,147.160,+,0.600000,Tone,146.2,88.5,023,NN,FM,5.00,,W7MIR - 147.160,,,,
19,W7MIR,440.150,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7MIR - 440.150,,,,
20,W7DG,147.100,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,W7DG - 147.100,,,,
21,W7DG,147.300,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,W7DG - 147.300,,,,
22,W7DG,224.140,-,1.600000,Tone,114.8,88.5,023,NN,FM,5.00,,W7DG - 224.140,,,,
23,W7DG,444.900,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,W7DG - 444.900,,,,
24,K6RFK,147.340,+,0.600000,Tone,100,88.5,023,NN,FM,5.00,,K6RFK - 147.340,,,,
25,K6RFK,442.775,+,5.000000,Tone,100,88.5,023,NN,FM,5.00,,K6RFK - 442.775,,,,
26,W7AAO,145.370,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,W7AAO - 145.370,,,,
27,W7AAO,146.640,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7AAO - 146.640,,,,
28,W7AAO,927.850,-,25.000000,Tone,114.8,88.5,023,NN,FM,5.00,,W7AAO - 927.850,,,,
29,WA7FW,146.760,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,WA7FW - 146.760,,,,
30,WA7FW,147.040,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,WA7FW - 147.040,,,,
31,WA7FW,442.925,+,5.000000,,67.0,88.5,023,NN,FM,5.00,,WA7FW - 442.925,,,,
32,WA7FW,442.950,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,WA7FW - 442.950,,,,
33,KC7EQO,442.100,+,5.000000,Tone,100,88.5,023,NN,FM,5.00,,KC7EQO - 442.100,,,,
34,KC7Z,146.620,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,KC7Z - 146.620,,,,
35,KC7Z,442.650,+,5.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,KC7Z - 442.650,,,,
36,KC7Z,444.075,+,5.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,KC7Z - 444.075,,,,
37,K7NWS,145.330,-,0.600000,Tone,179.9,88.5,023,NN,FM,5.00,,K7NWS - 145.330,,,,
38,K7NWS,224.340,-,1.600000,Tone,110.9,88.5,023,NN,FM,5.00,,K7NWS - 224.340,,,,
39,K7NWS,442.075,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,K7NWS - 442.075,,,,
40,K7CH,53.030,-,1.700000,Tone,114.8,88.5,023,NN,FM,5.00,,K7CH - 53.030,,,,
44,N9VW,443.325,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,N9VW - 443.325,,,,
45,KC7RAS,147.100,+,0.600000,Tone,123,88.5,023,NN,FM,5.00,,KC7RAS - 147.100,,,,
46,W7PIG,147.360,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,W7PIG - 147.360,,,,
47,W7PIG,223.880,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7PIG - 223.880,,,,
48,W7PIG,441.050,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,W7PIG - 441.050,,,,
49,WA7TBP,223.960,-,1.600000,Tone,123,88.5,023,NN,FM,5.00,,WA7TBP - 223.960,,,,
