RR#,Date,Time,Callsign,Report,QRP,Band,Group,Band Hog,QSO Score
2,November 23,00:14,KB7RYY,5,False,6m,PSRG,False,1
25,November 23,00:21,K7DRQ,5,True,2m,KCARC,False,2
25,November 23,09:16,KK7UAW,4,True,2m,KCARC,False,2
25,November 23,09:28,KK7UUM,5,True,2m,KCARC,False,2
25,November 23,09:30,KK7WID,5,True,2m,KCARC,False,2
74,November 23,09:32,KG7BPX,5,True,2m,HARC,False,2
52,November 23,10:02,KK7WID,4,False,6m,N7OEP,False,1
40,November 23,10:14,KK7NYW,5,True,2m,Pierce,False,2
40,November 23,10:17,K7DRQ,4,True,2m,Pierce,False,2
40,November 23,10:40,KI7AUH,3,True,2m,Pierce,False,2
74,November 23,10:44,K7DRQ,4,True,2m,HARC,False,2
75,November 23,10:45,K7DRQ,5,True,70cm,HARC,False,2
76,November 23,10:45,K7DRQ,4,True,70cm,HARC,False,2
77,November 23,10:47,K7DRQ,4,True,70cm,HARC,False,2
2,November 23,11:18,KJ7EXM,4,False,6m,PSRG,False,1
40,November 23,11:20,KI7JD,4,True,2m,Pierce,False,2
40,November 23,11:26,W7ROV,5,True,2m,Pierce,False,2
77,November 23,11:47,WB6CFA,5,True,70cm,HARC,False,2
74,November 23,11:50,WB6CFA,5,True,2m,HARC,False,2
75,November 23,11:51,WB6CFA,5,True,70cm,HARC,False,2
25,November 23,12:19,KK7WLI,5,True,2m,KCARC,False,2
74,November 23,12:55,W7ROV,4,True,2m,HARC,False,2
74,November 23,12:57,AG7LR,3,True,2m,HARC,False,2
40,November 23,13:01,KJ7NUW,5,True,2m,Pierce,False,2
74,November 23,13:13,KJ7NUW,5,True,2m,HARC,False,2
74,November 23,13:15,W7VXS,5,True,2m,HARC,False,2
74,November 23,13:17,KA7CEE,5,True,2m,HARC,False,2
2,November 23,14:35,KE7NOR,5,False,6m,PSRG,False,1
52,November 23,14:41,KE7NOR,4,False,6m,N7OEP,False,1
64,November 23,14:43,KE7NOR,4,False,6m,N9VW,False,1
40,November 23,14:54,WB6CFA,2,True,2m,Pierce,False,2
25,November 23,15:00,W7ROV,5,True,2m,KCARC,False,2
25,November 23,15:02,AA7RM,4,True,2m,KCARC,False,2
25,November 23,15:02,KJ7SXR,4,True,2m,KCARC,False,2
52,November 23,15:06,K7DRQ,4,False,6m,N7OEP,False,1
74,November 23,15:36,KK7WID,3,True,2m,HARC,False,2
75,November 23,15:37,KK7WID,4,True,70cm,HARC,False,2
76,November 23,15:38,KK7WID,3,True,70cm,HARC,False,2
40,November 23,16:03,KI7YFP,3,True,2m,Pierce,False,2
52,November 24,00:07,KK7WEM,5,False,6m,N7OEP,False,1
40,November 24,00:38,KB9IQX,4,True,2m,Pierce,False,2
40,November 24,00:39,KG7ODB,4,True,2m,Pierce,False,2
40,November 24,00:39,AG7LR,4,True,2m,Pierce,False,2
40,November 24,00:39,WA7EVZ,4,True,2m,Pierce,False,2
41,November 24,00:43,KG7ODB,5,False,2m,Eatonville,False,1
41,November 24,00:43,AG7LR,3,False,2m,Eatonville,False,1
41,November 24,00:43,WA7EVZ,4,False,2m,Eatonville,False,1
52,November 24,00:50,AG7LR,4,False,6m,N7OEP,False,1
52,November 24,00:50,KB9IQX,5,False,6m,N7OEP,False,1
52,November 24,00:50,WA7EVZ,5,False,6m,N7OEP,False,1
74,November 24,01:06,WA7EVZ,5,True,2m,HARC,False,2
74,November 24,01:07,KB9IQX,5,True,2m,HARC,False,2
74,November 24,01:08,KG7ODB,5,True,2m,HARC,False,2
75,November 24,01:10,KB9IQX,3,True,70cm,HARC,False,2
75,November 24,01:12,KG7ODB,4,True,70cm,HARC,False,2
75,November 24,01:13,WA7EVZ,5,True,70cm,HARC,False,2
98,November 24,08:48,K7WFB,2,True,1.25m,Mike & Key,False,2
98,November 24,08:51,AI7OZ,5,True,1.25m,Mike & Key,False,2
98,November 24,08:52,KB8BMY,4,True,1.25m,Mike & Key,False,2
52,November 24,09:06,KB8BMY,5,False,6m,N7OEP,False,1
74,November 24,10:14,N7ITU,3,True,2m,HARC,False,2
52,November 24,10:23,KI7AUH,5,False,6m,N7OEP,False,1
52,November 24,12:48,KK7TUE,4,False,6m,N7OEP,False,1
52,November 24,23:41,N7IQZ,4,False,6m,N7OEP,False,1
52,November 24,23:43,KG7ODB,5,False,6m,N7OEP,False,1
2,November 24,23:46,N7IQZ,5,False,6m,PSRG,False,1
2,November 24,23:46,KG7ODB,5,False,6m,PSRG,False,1
