RR#,Date,Time,Callsign,Report,QRP,Unnamed: 6,Band,Group,Band Hog,QSO Score
9,November 23,1728,KB7SDM,4,True,RYAN N SEATTLE,2m,RCTacoma,False,2
25,November 23,1732,KK7WID,5,True,,2m,KCARC,False,2
25,November 23,1733,N3KPU,5,True,MIKE ,2m,KCARC,False,2
25,November 23,1736,WA7EVZ,5,True,,2m,KCARC,False,2
25,November 23,1737,AG7LR,5,True,,2m,KCARC,False,2
25,November 23,1740,KK7WEM,5,True,,2m,KCARC,False,2
25,November 23,1741,KJ7GDN,5,True,,2m,KCARC,False,2
25,November 23,1747,KK7WLO,5,True,,2m,KCARC,False,2
0,November 24,925,KF7SDL,5,True,"CHUCK, MAPLE VALLEY",,,False,2
97,November 24,1001,K7WFB,5,True,,2m,Mike & Key,False,2
97,November 24,1003,AI7OZ,5,True,,2m,Mike & Key,False,2
74,November 24,1015,K7CX,3,True,,2m,HARC,False,2
33,November 24,1019,AB7I,5,True,,2m,MCARC,False,2
7,November 24,1033,KE7NOR,3,True,,2m,RCTacoma,False,2
59,November 24,1038,W7VXS,5,True,DUPE,2m,BEARS,False,2
59,November 24,1040,KI6KTE,5,True,,2m,BEARS,False,2
160,November 24,1911,WA7EVZ,5,True,,2m,WB7DOB,False,2
160,November 24,1912,KG7ODB,5,True,,2m,WB7DOB,False,2
160,November 24,1912,AG7LR,4,True,,2m,WB7DOB,False,2
101,November 24,1919,KG7ODB,3,True,,2m,WWMST,False,2
101,November 24,1920,AG7LR,3,True,,2m,WWMST,False,2
101,November 24,1920,WA7EVZ,3,True,,2m,WWMST,False,2
160,November 24,1926,N7IQZ,3,True,,2m,WB7DOB,False,2
162,November 24,2001,KG7ODB,5,True,DEAN,2m,WB7DOB,False,2
162,November 24,2002,WA7EVZ,5,True,SEBASTIAN,2m,WB7DOB,False,2
162,November 24,2004,KE8UVJ,5,True,,2m,WB7DOB,False,2
162,November 24,2007,AG7LR,5,True,,2m,WB7DOB,False,2
